Time	Bottom	Top
0		0			0
0.03	2.52369E-07	-8.0339E-08
0.06	5.04521E-07	-1.60599E-07
0.09	7.5646E-07	-2.40782E-07
0.15	1.26048E-06	-4.01155E-07
0.27	2.26909E-06	-7.21927E-07
0.51	4.28847E-06	-1.36356E-06
0.99	8.33517E-06	-2.64706E-06
1.95	1.64548E-05	-5.21399E-06
3.87	3.27573E-05	-1.03388E-05
7.71	6.49569E-05	-2.03688E-05
13.47	0.000111373	-3.46663E-05
22.11	0.000177856	-5.48793E-05
33.6811	0.000262382	-8.02058E-05
45.2522	0.000341831	-0.000103695
56.8232	0.000415195	-0.000125077
68.3943	0.000485285	-0.000145274
79.9654	0.000552727	-0.000164505
96.3906	0.000641848	-0.000189518
112.816	0.000726804	-0.000213043
129.241	0.000808544	-0.000235408
152.513	0.000918291	-0.000264963
175.784	0.00102233	-0.00029255
199.056	0.00112071	-0.000318215
231.459	0.00125081	-0.000351586
263.863	0.00137395	-0.000382643
296.266	0.0014904	-0.000411506
328.669	0.00160043	-0.000438301
366.596	0.00172283	-0.000467613
404.523	0.00183888	-0.000494929
442.451	0.00194836	-0.000520228
480.378	0.00205179	-0.000543683
526.292	0.00217101	-0.000570248
572.206	0.00228453	-0.000595113
618.121	0.0023919	-0.000618129
674.679	0.00251622	-0.000644113
731.237	0.00263423	-0.000668245
787.796	0.00274604	-0.000690582
860.738	0.00288183	-0.000716931
933.681	0.00300958	-0.000740948
1006.62	0.00313051	-0.000762992
1103.92	0.0032829	-0.000789776
1201.21	0.00342751	-0.000814288
1298.5	0.0035658	-0.000836904
1421.84	0.00373428	-0.000863489
1545.18	0.00389513	-0.00088781
1668.51	0.00404964	-0.000910234
1824.64	0.00423722	-0.000936164
1980.77	0.00441696	-0.000959726
2136.9	0.00459011	-0.000981267
2334.15	0.00480058	-0.00100584
2531.41	0.00500372	-0.00102805
2728.66	0.00519955	-0.00104795
2975.84	0.00543466	-0.0010696
3223.02	0.00566039	-0.00108829
3470.19	0.0058777	-0.00110429
3776.12	0.0061347	-0.00112033
4082.04	0.00638082	-0.00113297
4387.97	0.00661674	-0.00114245
4765.73	0.00689361	-0.00114976
5143.49	0.007157	-0.00115302
5521.24	0.0074076	-0.00115251
5985.05	0.00769733	-0.0011467
6448.85	0.00797023	-0.00113615
6912.65	0.00822722	-0.00112122
7200	0.00838047	-0.00111039
